train_number,route_name,train_id,lat,lon,heading,velocity,train_state,status_msg,origin_code,dest_code,num_stations,collection_timestamp
316,Missouri River Runner,316-7,38.75822762348242,-94.13716090876385,E,67.7915725708008,Active, ,KCY,STL,10,2025-08-07 18:12:55
318,Lincoln River Runner,318-7,39.30371821835436,-89.87263341356815,NE,71.7621383666992,Active, ,KCY,CHI,20,2025-08-07 18:12:55
319,Lincoln River Runner,319-7,38.68354743517013,-91.34197886398482,NW,55.0534706115723,Active, ,CHI,KCY,20,2025-08-07 18:12:55
337,Hiawatha,337-7,43.02935068253159,-87.9115660115153,N,0.0,Completed, ,CHI,MKE,5,2025-08-07 18:12:55
339,Hiawatha,339-7,41.87900785324407,-87.6393057527007,N,0.0,Predeparture, ,CHI,MKE,5,2025-08-07 18:12:55
352,Wolverine,352-7,42.311798528057935,-85.17132311266872,E,15.2857303619385,Active, ,CHI,PNT,12,2025-08-07 18:12:55
355,Wolverine,355-7,42.42139872163199,-83.09207596814787,SE,40.8178596496582,Active, ,PNT,CHI,14,2025-08-07 18:12:55
364,Blue Water,364-7,41.79672648517021,-86.74548887832258,NE,0.0,Active, ,CHI,PTH,11,2025-08-07 18:12:55
392,Illini,392-7,38.37367581838237,-89.18064705477711,N,52.5679893493652,Active, ,CDL,CHI,11,2025-08-07 18:12:55
393,Illini,393-7,41.204650975131,-87.84972956459958,S,78.3689575195313,Active, ,CHI,CDL,11,2025-08-07 18:12:55
474,Northeast Regional,474-7,42.10479830809669,-72.59506333393973,N,0.0,Completed, ,NHV,SPG,9,2025-08-07 18:12:55
479,Northeast Regional,479-7,42.58594981882328,-72.6013514240116,N,0.0,Predeparture, ,GFD,NHV,12,2025-08-07 18:12:55
507,Amtrak Cascades,507-7,47.24029718449658,-122.40282396124032,W,30.6058139801025,Active, ,SEA,EUG,12,2025-08-07 18:12:55
517,Amtrak Cascades,517-7,45.94383406161716,-122.77746514899717,SE,65.0569229125977,Active, ,VCVR,PDX,14,2025-08-07 18:12:55
518,Amtrak Cascades,518-7,46.07355283940417,-122.86793455095422,N,79.2435989379883,Active, ,PDX,VCVR,14,2025-08-07 18:12:55
534,Capitol Corridor,534-7,38.07788585028677,-122.11913857160052,NE,54.3731918334961,Active, ,OKJ,SAC,9,2025-08-07 18:12:55
536,Capitol Corridor,536-7,37.79390495658904,-122.27131319521108,N,0.0,Predeparture, ,OKJ,SAC,9,2025-08-07 18:12:55
538,Capitol Corridor,538-7,37.3530513606952,-121.93528531133282,N,21.3493137359619,Active, ,SJC,ARN,18,2025-08-07 18:12:55
541,Capitol Corridor,541-7,37.3318721621501,-121.90337917613134,N,0.0,Completed, ,SAC,SJC,15,2025-08-07 18:12:55
543,Capitol Corridor,543-7,38.01332589597603,-122.29463755339926,N,45.0630683898926,Active, ,SAC,SJC,15,2025-08-07 18:12:55
580,Pacific Surfliner,580-7,34.06080485736482,-118.23631218666064,N,0.0,Predeparture, ,LAX,SAN,10,2025-08-07 18:12:55
581,Pacific Surfliner,581-7,33.26988701372472,-117.43539864677236,NW,82.6325607299805,Active, ,SAN,LAX,11,2025-08-07 18:12:55
649,Keystone,649-7,39.98520701464195,-76.04039969406094,W,54.596996307373,Active, ,NYP,HAR,18,2025-08-07 18:12:55
651,Keystone,651-7,40.008556808794914,-75.29041471752785,N,0.0559234991669655,Active, ,NYP,HAR,15,2025-08-07 18:12:55
652,Keystone,652-7,40.495846363238776,-74.44716038931463,NE,25.3208694458008,Active, ,HAR,NYP,17,2025-08-07 18:12:55
653,Keystone,653-7,40.19506885702949,-74.78123640539067,S,94.2825469970703,Active, ,NYP,HAR,15,2025-08-07 18:12:55
654,Keystone,654-7,40.034370868302624,-75.33471099713499,SE,68.3564147949219,Active, ,HAR,NYP,15,2025-08-07 18:12:55
655,Keystone,655-7,40.75246326445101,-73.99794244833376,N,0.0,Predeparture, ,NYP,HAR,17,2025-08-07 18:12:55
656,Keystone,656-7,40.10798305373572,-76.46880559888389,E,95.9132766723633,Active, ,HAR,NYP,15,2025-08-07 18:12:55
685,Downeaster,685-7,43.542817450232434,-70.3533634640441,NE,77.1028442382813,Active, ,BON,BRK,12,2025-08-07 18:12:55
687,Downeaster,687-7,42.77401845572866,-71.08629670604769,N,0.017895519733429,Active, ,BON,BRK,12,2025-08-07 18:12:55
688,Downeaster,688-7,43.82580319503019,-70.16912117151547,SW,53.4583930969238,Active, ,BRK,BON,12,2025-08-07 18:12:55
712,San Joaquins,712-7,35.877015323621485,-119.39511599557903,SE,39.475700378418,Active, ,OKJ,BFD,15,2025-08-07 18:12:55
714,San Joaquins,714-7,37.219598099803406,-120.23444122065254,N,0.0223693568259478,Active, ,OKJ,BFD,15,2025-08-07 18:12:55
715,San Joaquins,715-7,37.22961549486659,-120.24680847172606,N,38.8958358764648,Active, ,BFD,OKJ,15,2025-08-07 18:12:55
716,San Joaquins,716-7,37.940003643898656,-121.615110158574,E,50.4361915588379,Active, ,OKJ,BFD,15,2025-08-07 18:12:55
717,San Joaquins,717-7,35.77380105315391,-119.34983552121425,N,65.2581253051758,Active, ,BFD,OKJ,15,2025-08-07 18:12:55
774,Pacific Surfliner,774-7,32.72039508095327,-117.17010925393208,N,0.0,Completed, ,GTA,SAN,22,2025-08-07 18:12:55
779,Pacific Surfliner,779-7,33.789727291317995,-117.85749501092528,N,37.5761184692383,Active, ,SAN,GTA,24,2025-08-07 18:12:55
784,Pacific Surfliner,784-7,34.21623331375692,-119.0337418848336,N,0.0313171595335007,Active, ,GTA,SAN,24,2025-08-07 18:12:55
822,Heartland Flyer,822-7,32.74920570870838,-97.32420765572355,N,0.0,Predeparture, ,FTW,OKC,7,2025-08-07 18:12:55
1333,Borealis,1333-7,44.03031954820345,-91.59401654579004,NW,59.5965538024902,Active, ,CHI,MSP,13,2025-08-07 18:12:55
1340,Borealis,1340-7,43.338478476373325,-89.0060487901495,SE,35.7847595214844,Active, ,MSP,CHI,13,2025-08-07 18:12:55
2122,Acela,2122-7,39.30737711964305,-76.50258851815695,N,78.8000030517578,Active, ,WAS,NYP,6,2025-08-07 18:12:55
2124,Acela,2124-7,38.90137078736586,-77.00495528516336,N,0.0,Predeparture, ,WAS,NYP,7,2025-08-07 18:12:55
2167,Acela,2167-7,39.9631390176159,-75.18438898518546,S,28.5,Active, ,BOS,WAS,12,2025-08-07 18:12:55
2168,Acela,2168-7,41.11846996663169,-73.3731091798087,N,43.4000015258789,Active, ,WAS,BOS,12,2025-08-07 18:12:55
2169,Acela,2169-7,40.74291674244116,-73.94491720177041,SW,34.252025604248,Active, ,BOS,WAS,13,2025-08-07 18:12:55
2170,Acela,2170-7,40.771351497599895,-74.04197076258339,SE,42.3743553161621,Active, ,WAS,BOS,12,2025-08-07 18:12:55
2172,Acela,2172-7,40.51674709547759,-74.41533054643274,N,124.199996948242,Active, ,WAS,BOS,12,2025-08-07 18:12:55
2173,Acela,2173-7,41.35030828493163,-71.96709524988854,N,0.0,Active, ,BOS,WAS,13,2025-08-07 18:12:55
2193,Acela,2193-7,42.34756417048625,-71.07514659534583,SW,0.0,Active, ,BOS,NYP,6,2025-08-07 18:12:55
v5,Skeena,v5-06,54.3989,-126.6544,SW,19.883872,Active, ,JASP,PRUP,34,2025-08-07 18:12:55
v6,Skeena,v6-06,52.8657,-118.222,E,36.039518,Active, ,CASS,JASP,33,2025-08-07 18:12:55
v14,Ocean,v14-06,45.6886,-64.1643,SE,39.146373,Active, ,MTRL,HLFX,28,2025-08-07 18:12:55
v15,Ocean,v15-06,44.6392,-63.567692,N,0.0,Active, ,HLFX,MTRL,28,2025-08-07 18:12:55
v20,Corridor,v20-07,45.4999195215,-73.5661785423,N,0.0,Active, ,MTRL,QBEC,6,2025-08-07 18:12:55
v22,Corridor,v22-07,45.41599,-75.65151,N,0.0,Active, ,OTTW,QBEC,11,2025-08-07 18:12:55
v24,Corridor,v24-07,45.41599,-75.65151,N,0.0,Active, ,OTTW,QBEC,11,2025-08-07 18:12:55
v26,Corridor,v26-07,45.6391,-72.8978,E,31.06855,Active, ,OTTW,QBEC,11,2025-08-07 18:12:55
v28,Corridor,v28-07,45.4712,-73.595,NE,0.0,Active, ,OTTW,QBEC,12,2025-08-07 18:12:55
v29,Corridor,v29-07,46.7533,-71.3039,E,49.70968,Active, ,QBEC,MTRL,6,2025-08-07 18:12:55
v31,Corridor,v31-07,45.4999195215,-73.5661785423,N,0.0,Active, ,MTRL,OTTW,5,2025-08-07 18:12:55
v33,Corridor,v33-07,46.8185710392,-71.2146142824,N,0.0,Active, ,QBEC,OTTW,11,2025-08-07 18:12:55
v35,Corridor,v35-07,46.8185710392,-71.2146142824,N,0.0,Active, ,QBEC,OTTW,12,2025-08-07 18:12:55
v37,Corridor,v37-07,45.3181,-74.6411,W,9.320565,Active, ,QBEC,OTTW,10,2025-08-07 18:12:55
v38,Corridor,v38-07,45.3747,-75.4946,E,91.341537,Active, ,OTTW,MTRL,5,2025-08-07 18:12:55
v39,Corridor,v39-07,45.6227,-72.9714,W,10.563307,Active, ,QBEC,OTTW,9,2025-08-07 18:12:55
v40,Corridor,v40-07,43.64481,-79.38032,N,0.0,Active, ,TRTO,OTTW,5,2025-08-07 18:12:55
v41,Corridor,v41-07,45.41599,-75.65151,N,0.0,Active, ,OTTW,TRTO,11,2025-08-07 18:12:55
v44,Corridor,v44-07,44.9048,-76.0154,NW,12.42742,Active, ,TRTO,OTTW,7,2025-08-07 18:12:55
v45,Corridor,v45-07,45.41599,-75.65151,N,0.0,Active, ,OTTW,TRTO,4,2025-08-07 18:12:55
v46,Corridor,v46-07,44.2408,-77.0131,E,34.796776,Active, ,TRTO,OTTW,7,2025-08-07 18:12:55
v47,Corridor,v47-07,43.8235,-79.1017,SW,37.903631,Active, ,OTTW,TRTO,10,2025-08-07 18:12:55
v50,Corridor,v50-07,43.64481,-79.38032,N,0.0,Active, ,TRTO,OTTW,10,2025-08-07 18:12:55
v52,Corridor,v52-07,43.64481,-79.38032,N,0.0,Active, ,TRTO,OTTW,10,2025-08-07 18:12:55
v53,Corridor,v53-07,45.41599,-75.65151,N,0.0,Active, ,OTTW,TRTO,9,2025-08-07 18:12:55
v54,Corridor,v54-07,43.8436,-79.0581,NE,82.642343,Active, ,TRTO,OTTW,13,2025-08-07 18:12:55
v59,Corridor,v59-07,45.4145,-75.6594,SW,9.320565,Active, ,OTTW,TRTO,11,2025-08-07 18:12:55
v60,Corridor,v60-07,43.64481,-79.38032,N,0.0,Active, ,TRTO,MTRL,9,2025-08-07 18:12:55
v61,Corridor,v61-07,45.4999195215,-73.5661785423,N,0.0,Active, ,MTRL,TRTO,8,2025-08-07 18:12:55
v62,Corridor,v62-07,43.64481,-79.38032,N,0.0,Active, ,TRTO,MTRL,9,2025-08-07 18:12:55
v63,Corridor,v63-07,45.4999195215,-73.5661785423,N,0.0,Active, ,MTRL,TRTO,10,2025-08-07 18:12:55
v64,Corridor,v64-07,43.64481,-79.38032,N,0.0,Active, ,TRTO,MTRL,10,2025-08-07 18:12:55
v65,Corridor,v65-07,45.4999195215,-73.5661785423,N,0.0,Active, ,MTRL,TRTO,8,2025-08-07 18:12:55
v66,Corridor,v66-07,44.2325,-76.6833,E,78.292746,Active, ,TRTO,MTRL,8,2025-08-07 18:12:55
v67,Corridor,v67-07,43.9193,-78.4577,SW,89.477424,Active, ,MTRL,TRTO,8,2025-08-07 18:12:55
v68,Corridor,v68-07,43.9465,-78.3764,E,93.827021,Active, ,TRTO,MTRL,9,2025-08-07 18:12:55
v69,Montréal-Toronto,v69-07,45.0425,-74.7036,SW,73.943149,Active, ,MTRL,TRTO,8,2025-08-07 18:12:55
v70,Corridor,v70-07,42.324933,-83.007134,N,0.0,Active, ,WDON,TRTO,9,2025-08-07 18:12:55
v71,Corridor,v71-07,43.64481,-79.38032,N,0.0,Active, ,TRTO,WDON,10,2025-08-07 18:12:55
v72,Corridor,v72-07,42.324933,-83.007134,N,0.0,Active, ,WDON,TRTO,10,2025-08-07 18:12:55
v73,Corridor,v73-07,43.64481,-79.38032,N,0.0,Active, ,TRTO,WDON,8,2025-08-07 18:12:55
v75,Corridor,v75-07,43.455,-79.6824,SW,13.048791,Active, ,TRTO,WDON,10,2025-08-07 18:12:55
v76,Corridor,v76-07,42.324933,-83.007134,N,0.0,Active, ,WDON,TRTO,8,2025-08-07 18:12:55
v78,Corridor,v78-07,42.3244,-83.0026,W,9.941936,Active, ,WDON,TRTO,10,2025-08-07 18:12:55
v82,London-Toronto,v82-07,42.98099,-81.246734,N,0.0,Active, ,LNDN,TRTO,4,2025-08-07 18:12:55
v83,Toronto-London,v83-07,43.1339,-80.7037,W,71.457665,Active, ,TRTO,LNDN,5,2025-08-07 18:12:55
v84,Corridor,v84-07,42.95709,-82.38892,N,0.0,Active, ,SARN,TRTO,12,2025-08-07 18:12:55
v87,Corridor,v87-07,43.7048,-79.6393,W,0.0,Active, ,TRTO,SARN,12,2025-08-07 18:12:55
v97,Toronto-Niagara Falls,v97-07,43.64481,-79.38032,N,0.0,Active, ,TRTO,NIAG,6,2025-08-07 18:12:55
v98,Niagara Falls-Toronto,v98-07,43.1089370258,-79.0633386904,N,0.0,Active, ,NIAG,TRTO,6,2025-08-07 18:12:55
v185,Lake Superior,v185-07,48.478,-84.8867,W,27.961695,Active, ,SUDB,WHTR,36,2025-08-07 18:12:55
v641,Ottawa-Toronto,v641-07,45.41599,-75.65151,N,0.0,Active, ,OTTW,TRTO,9,2025-08-07 18:12:55
v643,Corridor,v643-07,45.41599,-75.65151,N,0.0,Active, ,OTTW,TRTO,13,2025-08-07 18:12:55
v644,Toronto-Ottawa,v644-07,45.3487,-75.6942,NE,24.85484,Active, ,TRTO,OTTW,7,2025-08-07 18:12:55
v645,Corridor,v645-07,44.003,-77.8566,W,77.671375,Active, ,OTTW,TRTO,6,2025-08-07 18:12:55
v646,Toronto-Ottawa,v646-07,43.9052,-78.6035,E,60.272987,Active, ,TRTO,OTTW,5,2025-08-07 18:12:55
v668,Corridor,v668-07,43.64481,-79.38032,N,0.0,Active, ,TRTO,MTRL,7,2025-08-07 18:12:55
v669,Corridor,v669-07,45.4999195215,-73.5661785423,N,0.0,Active, ,MTRL,TRTO,6,2025-08-07 18:12:55
v690,Hudson Bay,v690-05,58.767685933,-94.1747663006,N,0.0,Active, ,CHUR,TPAS,34,2025-08-07 18:12:55
v693,Hudson Bay,v693-05,49.8893855363,-97.1335833128,N,0.0,Active, ,WNPG,CHUR,55,2025-08-07 18:12:55
v1,Canadian,v1-03,43.64481,-79.38032,N,0.0,Active, ,TRTO,VCVR,67,2025-08-07 18:12:55
v1,Canadian,v1-06,50.0053,-94.2963,W,30.447179,Active, ,TRTO,MELV,46,2025-08-07 18:12:55
v2,Canadian,v2-04,49.5401,-85.8992,SE,51.573793,Active, ,VCVR,PARS,65,2025-08-07 18:12:55
1,Sunset Limited,1-6,32.256635093413045,-107.87831360845594,W,77.3979721069336,Active, ,NOL,LAX,22,2025-08-07 18:42:57
2,Sunset Limited,2-6,31.573174822784207,-106.21161093606992,SE,32.2802200317383,Active, ,LAX,NOL,22,2025-08-07 18:42:57
3,Southwest Chief,3-6,35.08001510414836,-106.64791346327394,S,0.0434959717094898,Active, ,CHI,LAX,32,2025-08-07 18:42:57
3,Southwest Chief,3-7,40.8995665517302,-90.38589359665929,SW,12.110520362854,Active, ,CHI,LAX,32,2025-08-07 18:42:57
4,Southwest Chief,4-5,41.79544849132672,-88.02659429820719,E,31.6277809143066,Active, ,LAX,CHI,32,2025-08-07 18:42:57
4,Southwest Chief,4-6,35.596376499777094,-105.2116110020671,N,12.2596502304077,Active, ,LAX,CHI,32,2025-08-07 18:42:57
5,California Zephyr,5-7,40.89616765232769,-90.45271948233216,W,35.4492111206055,Active, ,CHI,EMY,35,2025-08-07 18:42:57
5,California Zephyr,5-5,38.06200526411693,-122.13071236346632,S,28.6576309204102,Active, ,CHI,EMY,35,2025-08-07 18:42:57
5,California Zephyr,5-6,39.09330595903375,-108.4270127549012,W,50.5671691894531,Active, ,CHI,EMY,35,2025-08-07 18:42:57
6,California Zephyr,6-7,39.31838367780671,-120.36021206028651,SE,30.4223194122314,Active, ,EMY,CHI,35,2025-08-07 18:42:57
6,California Zephyr,6-6,40.05655545326978,-106.13691226370986,NW,25.9919490814209,Active, ,EMY,CHI,35,2025-08-07 18:42:57
7,Empire Builder,7-7,43.10685768380435,-88.43241730916212,W,0.0,Active, ,CHI,SEA,40,2025-08-07 18:42:57
7,Empire Builder,7-6,48.55462585469629,-109.67711378432004,W,15.490779876709,Active, ,CHI,SEA,40,2025-08-07 18:42:57
8,Empire Builder,8-5,42.26361874452313,-87.89233222116702,S,45.7515411376953,Active, ,SEA,CHI,40,2025-08-07 18:42:57
